Seed,Model,Model_raw_MSE,Model_processed_MSE,Model_raw_rmse,Model_processed_rmse,Model_raw_r2,Model_processed_r2,Model_raw_MAE,Model_processed_MAE
0,LR,2732378458.363096,0.014035537786402326,52272.15758281933,0.11847167503839189,0.6043385719925141,0.917180995637288,24873.56835007341,0.08707086919319593
0,XGB,1235958019.5753605,0.016547131735809358,35156.19461169483,0.12863565499428747,0.8210273860541807,0.9023609215212238,18716.376698951197,0.09113546892304704
0,GBR,744167119.5100524,0.012193527652281442,27279.426671212364,0.11042430734345333,0.8922410531087426,0.9280500800753428,16645.57394625538,0.08350969317838866
1,LR,1003997092.0331043,0.1557848236153462,31685.913148165768,0.39469586217155384,0.8592253136308114,0.02368717212465621,19815.11234408862,0.12399817469701256
1,XGB,843098739.4953133,0.020166536188554414,29036.162616559945,0.14200892996059936,0.8817855533920237,0.8736151088548109,16485.776059503423,0.10126891829067901
1,GBR,520333058.4251359,0.01442989071808818,22810.810122070103,0.12012448009497556,0.9270418971443555,0.9095670098924769,15042.111324197696,0.08699667624231518
2,LR,2766325922.0183206,0.02686980515351014,52595.87362159051,0.16392011820856567,0.5822689397699952,0.8322101065660915,22489.66708311316,0.09467352598399786
2,XGB,674672589.5541745,0.0183131431892931,25974.460332299004,0.13532606249090787,0.8981205743331346,0.8856426264866314,17589.62259203767,0.09306486741291471
2,GBR,714047930.5691456,0.016326168907791094,26721.675294957568,0.1277738975995923,0.892174672290941,0.8980503905565389,17886.674427860256,0.0894944168964787
3,LR,5493922897.106215,0.016120050452084197,74121.00172762248,0.12696476067036946,-0.11263085506397097,0.8861167142053654,23107.376539961933,0.08860989225357435
3,XGB,717927799.865698,0.020901509658947954,26794.174737537596,0.1445735441183758,0.8546050542027976,0.8523371496196821,17202.56897474315,0.10030494117670924
3,GBR,678752117.7460835,0.01583964892362791,26052.87158349504,0.12585566703024506,0.8625389246831097,0.8880976662810032,15522.810832972918,0.08855007515751771
4,LR,2181037026.8043566,0.11790757809086949,46701.57413625751,0.3433767291050305,0.6071628538792602,0.2852951553327595,20854.219037826748,0.10730842875908395
4,XGB,709023739.8936734,0.018067470899560893,26627.499692867776,0.13441529265511754,0.8722942989556732,0.890482790064191,18141.85172303082,0.09298416631616307
4,GBR,532956338.4524675,0.014146924048103747,23085.847146086442,0.11894084264080083,0.9040066516837695,0.914247452809802,15436.171032104434,0.08386042209500211
5,LR,2908681924.2202983,0.020979102015515075,53932.197472570115,0.14484164461754456,0.5518214226663563,0.858817948349979,22196.64981395251,0.0902073026365096
5,XGB,717478194.7860534,0.0205314213306935,26785.783445440855,0.1432878966650481,0.8894487726796317,0.8618306834766043,16767.043075770547,0.09943737915244516
5,GBR,616935163.4901007,0.01963852688311455,24838.179552658457,0.14013752846084646,0.9049407494240849,0.867839552203344,16430.789308430307,0.0928844048559548
6,LR,1809818476.4243498,0.014246733889333382,42541.96136080646,0.11935968284698725,0.7624277297880764,0.918578696810978,20936.49878316383,0.08602201940990359
6,XGB,1398396586.7187247,0.017650452340476505,37395.141218061,0.1328550049507978,0.8164344899275542,0.8991261546259874,18866.37029109589,0.09847273191802196
6,GBR,1024199456.1814065,0.015133445868151707,32003.116351090037,0.123018071307234,0.8655548094328426,0.9135110619811622,17339.722389521303,0.09041086641597548
7,LR,1955070282.4222417,0.022374404279910592,44216.17670516348,0.14958076173061358,0.7296725616375976,0.8719471930803229,21329.646905402613,0.0930847871055114
7,XGB,780344175.2304629,0.018114733155033112,27934.641133017314,0.13459098467220273,0.8921018626145157,0.8963260698214129,18145.16849047517,0.08983567776032703
7,GBR,642363906.6580006,0.017651881462984742,25344.89902639189,0.13286038334652187,0.91118038520427,0.8989750546888015,16399.97921931173,0.089281862967058
8,LR,2178018349.8143663,0.012766098369150412,46669.24415302187,0.11298716019597276,0.5861054756218085,0.9035585619674438,20992.13349261349,0.07859670027884717
8,XGB,960337177.219102,0.01338950804233479,30989.30746594867,0.11571304179881708,0.8175046141178413,0.8988490161354459,17891.673159246577,0.08387048321087413
8,GBR,1160977189.9650416,0.012361417493717986,34073.11535455837,0.1111819117200185,0.7793764676521364,0.9066157219894352,17197.806961966005,0.08113326015048455
9,LR,1029771781.6856695,0.05354961604197817,32090.05736494825,0.2314078996965708,0.8516157610772565,0.66383610807531,19385.101659435117,0.09372480403979837
9,XGB,857975075.7273409,0.014667393932309708,29291.211578344468,0.12110901672588094,0.8763706863106245,0.9079237426312707,17722.963519370718,0.0857005658601785
9,GBR,444460293.21513134,0.011877035991674103,21082.226951039385,0.10898181495861639,0.9359558073807874,0.9254405364856226,14490.547164511465,0.07899496745016696
10,LR,1238012567.4828851,0.02830069961722137,35185.402761413505,0.16822811779610855,0.8064691171623893,0.8089513311806729,22374.40963206879,0.09374386294452247
10,XGB,663782242.5594747,0.016532733643974392,25763.97179317418,0.12857967819206265,0.8962350086028185,0.8883929797727055,16839.71703767123,0.0940950609009837
