MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,BsmtFinType1_Unf,HasWoodDeck,HasOpenPorch,HasEnclosedPorch,Has3SsnPorch,HasScreenPorch,YearsSinceRemodel,Total_Home_Quality,TotalSF,YrBltAndRemod,Total_sqr_footage,Total_Bathrooms,Total_porch_sf,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace,LotFrontage_log,LotArea_log,MasVnrArea_log,BsmtFinSF1_log,BsmtFinSF2_log,BsmtUnfSF_log,TotalBsmtSF_log,1stFlrSF_log,2ndFlrSF_log,LowQualFinSF_log,GrLivArea_log,BsmtFullBath_log,BsmtHalfBath_log,FullBath_log,HalfBath_log,BedroomAbvGr_log,KitchenAbvGr_log,TotRmsAbvGrd_log,Fireplaces_log,GarageCars_log,GarageArea_log,WoodDeckSF_log,OpenPorchSF_log,EnclosedPorch_log,3SsnPorch_log,ScreenPorch_log,PoolArea_log,MiscVal_log,YearRemodAdd_log,TotalSF_log,YearRemodAdd_sq,LotFrontage_log_sq,TotalBsmtSF_log_sq,1stFlrSF_log_sq,2ndFlrSF_log_sq,GrLivArea_log_sq,GarageCars_log_sq,GarageArea_log_sq,SalePrice
9,3,13.823084197971921,8.942174602566915,1,3,3,4,0,5,2,2,0,5,7,3.0401509857573425,2003,2003,1,0,12,13,1,19.445438046822595,2,4,2,2,4,3,2,189.92325262081243,6,0.0,30.26951451237921,522.1597409909347,1,0,1,4,6.631894687986465,1288.7551431981842,0.0,10.286043859415019,0.994480564408597,0.0,2,1.0709806366827703,3,0.7173641529273178,2,2.6001872609738976,6,0.0,3,1,2003.0,2,2,548.0,5,5,2,0.0,12.208476599458962,0.0,0.0,0.0,0.0,4,1,0.0,4,2,8,4,0,1,0,1,1,1,5,10.040150985757343,1817.5467788771052,4006,1485.3102905069832,3.529970882749982,12.208476599458962,0,1,1,1,0,2.696860104720694,2.2977910803130692,3.0182487662986066,5.2519239042520445,0.009950330853168092,3.4429633948526734,6.259905963973061,2.033645568242298,7.162215421244578,0.009950330853168092,2.42445256348193,0.6953849570736713,0.009950330853168092,1.1019400787607843,0.7328392425545458,1.3887912413184778,0.5465966356094243,1.2837596438453949,0.009950330853168092,1.1019400787607843,6.308116656279888,0.009950330853168092,2.5816155932494134,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,7.602905452212266,7.505798486858016,4012009,7.273054424434112,39.1864226777855,4.135714297231539,51.29732974031364,5.877970232574102,1.2142719371793234,39.79233574923576,12.24769911637256
4,3,15.494707084016277,9.066929723658825,1,3,3,2,0,24,1,2,0,2,6,4.247349065744873,1976,1976,1,0,8,8,2,54.598150033144236,3,4,1,2,4,1,0,243.4876471161488,6,0.0,44.610471268433855,744.6268827994754,1,0,1,4,7.005436339975256,665.1416330443618,0.0,9.73143586257754,0.0,0.6826658430144086,2,0.0,3,0.7173641529273178,3,2.2578336517240882,6,0.9252912807650148,5,1,1976.0,2,2,460.0,5,5,2,61.91982542568707,0.0,0.0,0.0,0.0,0.0,4,1,0.0,7,1,8,4,0,0,1,1,1,1,31,10.247349065744874,751.6323191394507,3952,250.49308345612405,2.3413329215072043,61.91982542568707,0,1,1,1,1,2.8036456180417235,2.310248625339128,4.018329773844182,5.499205685621788,0.009950330853168092,3.8203565471061256,6.61423872942189,2.081369225000808,6.501517321869645,0.009950330853168092,2.3741087731220336,0.009950330853168092,0.5263047080138699,1.1019400787607843,0.009950330853168092,1.3887912413184778,0.5465966356094243,1.1841272735369857,0.660257847847934,1.1019400787607843,6.133419734735351,4.1420202234318175,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,7.589340881326767,6.6235901071650245,3904576,7.860428751564558,43.748153969784504,4.332097850780463,42.26972748657104,5.636392466615008,1.2142719371793234,37.61883764244106,12.109016442313738
9,3,14.17182897145582,9.221950363441122,1,0,3,4,0,5,2,2,0,5,7,3.0401509857573425,2001,2002,1,0,12,13,1,17.779565510268597,2,4,2,2,4,2,2,142.81702775897156,6,0.0,57.56625791545586,557.7458811926625,1,0,1,4,6.701326563945399,1308.1518211483863,0.0,10.366583319157117,0.994480564408597,0.0,2,1.0709806366827703,3,0.7173641529273178,2,2.2578336517240882,6,0.9252912807650148,5,1,2001.0,2,2,608.0,5,5,2,0.0,9.995005534750794,0.0,0.0,0.0,0.0,4,1,0.0,11,2,8,4,0,1,0,1,1,1,6,10.040150985757343,1872.5990289049942,4003,1457.6701754713033,3.529970882749982,9.995005534750794,0,1,1,1,1,2.7200992503128267,2.325515213154642,2.9333016897023865,4.968611381443445,0.009950330853168092,4.070329459459143,6.325712671496836,2.042690230355497,7.177142380231433,0.009950330853168092,2.4315571480435154,0.6953849570736713,0.009950330853168092,1.1019400787607843,0.7328392425545458,1.3887912413184778,0.5465966356094243,1.1841272735369857,0.660257847847934,1.1019400787607843,6.411834687936333,0.009950330853168092,2.398350217908857,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,7.602406328164589,7.535621811846036,4008004,7.398939931552402,40.01464080233564,4.172583377189793,51.51137274611412,5.9124701642015145,1.2142719371793234,41.111624065423605,12.317171167298682
10,3,13.223333940196108,9.06182480537527,1,0,3,0,0,6,2,2,0,5,7,3.0401509857573425,1915,1970,1,0,13,15,2,54.598150033144236,3,4,0,4,1,3,0,76.74477990846532,6,0.0,65.6057871807028,466.0870736887295,1,2,1,4,6.7433014763014505,1131.0965196791774,0.0,10.293597755889632,0.994480564408597,0.0,1,0.0,3,0.7173641529273178,2,2.4381381632971455,6,0.9252912807650148,2,5,1998.0,3,3,642.0,5,5,2,0.0,9.046381885960317,19.05698818392768,0.0,0.0,0.0,4,1,0.0,4,0,8,0,0,1,0,0,1,1,36,10.040150985757343,1603.9268948442084,3885,1214.584601063944,1.994480564408597,28.103370069887994,0,1,1,1,1,2.6555866742031973,2.309741902366705,4.018329773844182,4.353560027092037,0.009950330853168092,4.198941594210972,6.14653710263879,2.048118749596442,7.031835352992644,0.009950330853168092,2.425121060521353,0.6953849570736713,0.009950330853168092,0.6981347220709843,0.009950330853168092,1.3887912413184778,0.5465966356094243,1.2378344225604603,0.660257847847934,1.3887912413184778,6.46616027621622,0.009950330853168092,2.308207446497698,2.9990760859731753,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,7.586301380706567,7.380839716937073,3880900,7.052140584205598,37.77991835411525,4.1947904124484925,49.44670843159718,5.881212158184212,1.9287411119629183,41.811228717716624,11.849404844423074
9,3,15.913098870964317,9.453573718368585,1,0,3,2,0,15,2,2,0,5,8,3.0401509857573425,2000,2000,1,0,12,13,1,25.422364066848267,2,4,2,2,4,0,2,179.3639950219996,6,0.0,61.90418828796704,681.2556843324228,1,0,1,4,6.9118734656379655,1612.7429472425902,0.0,10.755062065780745,0.994480564408597,0.0,2,1.0709806366827703,4,0.7173641529273178,2,2.7475780006950794,6,0.9252912807650148,5,1,2000.0,2,3,836.0,5,5,2,46.13592943171058,14.437152574570515,0.0,0.0,0.0,0.0,4,1,0.0,3,2,8,4,0,0,0,1,1,1,8,11.040150985757343,2300.910505040651,4000,1799.0188157302277,3.529970882749982,60.5730820062811,0,1,1,1,1,2.8286794858106026,2.3479000559615395,3.274589170959217,5.195032445474908,0.009950330853168092,4.14177170723563,6.525419148451975,2.0696277265447662,7.386317768490766,0.009950330853168092,2.4651342976248873,0.6953849570736713,0.009950330853168092,1.1019400787607843,0.7328392425545458,1.6114359150967734,0.5465966356094243,1.3237746010975528,0.660257847847934,1.3887912413184778,6.729836017849408,3.8532476730453133,2.7374246869779877,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,7.601407332072496,7.74149905568844,4000000,8.001427633445735,42.58109506298369,4.283358926482857,54.55769017712241,6.076887105326547,1.9287411119629183,45.290692827143175,12.429220196836383
8,3,16.016115604959463,9.443591731103655,1,0,3,4,0,11,2,2,0,0,5,3.0401509857573425,1993,1995,1,0,12,13,2,54.598150033144236,3,4,5,2,4,3,2,195.23517971781496,6,0.0,17.849122339271027,488.58858909677673,1,0,1,4,6.561894571938941,829.733200172194,0.0,9.869333351900485,0.994480564408597,0.0,1,1.0709806366827703,1,0.7173641529273178,3,2.0541057401196436,6,0.0,3,1,1993.0,3,2,480.0,5,5,2,15.792375088099346,8.305501745864786,0.0,6.336458528266011,0.0,0.0,2,3,7.132708372877784,1,3,8,4,0,0,0,1,0,1,14,8.040150985757343,1324.8836838409097,3988,1031.5302744619478,2.529970882749982,30.434335362230144,0,1,1,1,0,2.834748377345983,2.3469456256830403,4.018329773844182,5.2793647944134285,0.009950330853168092,2.9369967405589263,6.193585849447184,2.024443309840074,6.722320722033819,0.009950330853168092,2.3868649667472774,0.6953849570736713,0.009950330853168092,0.6981347220709843,0.7328392425545458,0.6981347220709843,0.5465966356094243,1.1197557617657843,0.009950330853168092,1.1019400787607843,6.1758880599104415,2.8215202507084376,2.231679866893292,0.009950330853168092,1.9942183642169993,0.009950330853168092,0.009950330853168092,2.097122848614873,7.598905466878899,7.1898419894325105,3980025,8.035798362865684,38.3605056744724,4.098370714756233,45.18959588988529,5.697124369485482,1.2142719371793234,38.14159332854436,11.870606902224587
4,3,14.9565783821674,9.11501125297256,1,3,3,4,0,21,2,2,0,2,8,3.0401509857573425,2004,2005,1,0,12,13,3,18.9741063858407,2,4,2,0,4,0,2,314.5688920526699,6,0.0,47.66701531371112,970.3581034834747,1,0,1,4,7.288286471141114,665.1416330443618,0.0,10.26867078813296,0.994480564408597,0.0,2,0.0,3,0.7173641529273178,2,2.4381381632971455,6,0.9252912807650148,2,1,2004.0,2,2,636.0,5,5,2,55.79845117238344,11.777069983423175,0.0,0.0,0.0,0.0,4,1,0.0,10,1,8,4,0,0,0,1,1,1,2,11.040150985757343,977.6463899546158,4009,321.85717852381106,2.994480564408597,67.57552115580661,0,1,1,1,1,2.770497686432893,2.3150087243966824,2.9949372769199276,5.754408704772632,0.009950330853168092,3.885206953867237,6.878705493757426,2.1160490442288635,6.501517321869645,0.009950330853168092,2.4229134011950033,0.6953849570736713,0.009950330853168092,1.1019400787607843,0.009950330853168092,1.3887912413184778,0.5465966356094243,1.2378344225604603,0.660257847847934,1.1019400787607843,6.456785354036069,4.03968510290542,2.548434502827519,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,7.6039029535543206,6.886180600283591,4020025,7.675657430530013,47.3165892698486,4.477663557581887,42.26972748657104,5.870509349690339,1.2142719371793234,41.690077108094684,12.634606283893019
9,3,15.494707084016277,9.14347765384881,1,0,3,0,0,14,4,2,0,5,7,3.4679266186007984,1973,1973,1,0,6,6,3,21.36943696263996,3,4,1,2,4,2,0,220.5647526739407,1,4.863991599521182,37.801657276106944,660.5555947358337,1,0,1,4,6.879406860436859,1498.2344005462828,0.0,10.660149138467593,0.994480564408597,0.0,2,1.0709806366827703,3,0.7173641529273178,3,2.4381381632971455,6,1.756856689047833,5,1,1973.0,2,2,484.0,5,5,2,52.83088992703731,22.6529097450836,17.677141473619503,0.0,0.0,0.0,4,3,6.322155788893021,2,3,8,4,0,0,0,0,1,1,36,10.4679266186008,2165.6694021425533,3946,1730.5425516801815,3.529970882749982,93.16094114574042,0,1,1,1,1,2.8036456180417235,2.317816272799871,3.108142544508327,5.400760016405586,1.7705344026632475,3.658720646765077,6.494609139237311,2.0655209559149155,7.312716527205081,0.009950330853168092,2.4570342258627007,0.6953849570736713,0.009950330853168092,1.1019400787607843,0.7328392425545458,1.3887912413184778,0.5465966356094243,1.2378344225604603,1.017711906564261,1.1019400787607843,6.184169509281625,3.986033214305316,3.1639088326066944,2.9278356656087103,0.009950330853168092,0.009950330853168092,0.009950330853168092,1.9922695775549215,7.587822285836725,7.680951045110292,3892729,7.860428751564558,42.179947871464805,4.266376819323666,53.47582300725835,6.037017187060721,1.2142719371793234,38.24395251952853,12.206077645517674
8,4,12.07669015645676,8.62658878980526,1,3,3,4,0,17,0,2,0,0,7,3.0401509857573425,1931,1950,1,0,3,15,2,54.598150033144236,3,4,0,4,4,3,6,665.1416330443618,6,0.0,91.944237663961,575.4579757234872,1,2,1,1,6.802535422032246,1124.6910323478007,0.0,10.354078017833801,0.0,0.0,2,0.0,2,1.1602755756626333,3,2.6001872609738976,2,1.756856689047833,5,5,1931.0,3,2,468.0,1,5,2,27.63475724464985,0.0,16.888750247382493,0.0,0.0,0.0,4,1,0.0,6,2,8,0,1,0,1,0,1,1,58,10.040150985757343,1706.95154349332,3881,1131.493567769833,2.0,44.523507492032344,0,1,1,1,1,2.5715956951192536,2.265567186020531,4.018329773844182,6.501517321869645,0.009950330853168092,4.532107303918552,6.356919788683942,2.055729549072369,7.026161260432205,0.009950330853168092,2.4304573293180582,0.009950330853168092,0.009950330853168092,1.1019400787607843,0.009950330853168092,1.1019400787607843,0.7748541528823084,1.2837596438453949,1.017711906564261,1.1019400787607843,6.15062409018059,3.3549704332095103,0.009950330853168092,2.884730891827295,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,7.576102466186603,7.443055858575904,3802500,6.613104419155877,40.41042919976149,4.226023978929285,49.366942057598266,5.907122829635869,1.2142719371793234,37.830176698709806,11.774527900858468
3,3,11.94321626970938,8.815043650756117,1,3,3,0,0,3,0,0,1,1,5,3.4679266186007984,1939,1950,1,0,8,8,2,54.598150033144236,3,4,0,4,4,3,2,218.99719373231844,6,0.0,29.016635755180424,596.9753496551608,1,0,1,4,6.852974492787546,665.1416330443618,0.0,9.447571014792446,0.994480564408597,0.0,1,0.0,2,1.1602755756626333,3,2.0541057401196436,6,1.756856689047833,5,1,1939.0,2,1,205.0,2,5,2,0.0,2.3755204280473157,0.0,0.0,0.0,0.0,4,1,0.0,0,2,8,4,0,1,0,1,1,1,58,8.4679266186008,603.8283241479484,3889,225.850168225106,1.994480564408597,2.3755204280473157,0,1,1,1,1,2.5613441179044787,2.2849346005705056,4.018329773844182,5.393660244601033,0.009950330853168092,3.4020848462549482,6.393566254746116,2.0621649690498436,6.501517321869645,0.009950330853168092,2.3473262151112975,0.6953849570736713,0.009950330853168092,0.6981347220709843,0.009950330853168092,1.1019400787607843,0.7748541528823084,1.1197557617657843,1.017711906564261,0.6981347220709843,5.327924711300694,0.009950330853168092,1.2195076399077291,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,0.009950330853168092,7.576102466186603,6.4049611895044825,3802500,6.560483690323872,40.877689453828275,4.252524359576342,42.26972748657104,5.509940360148729,0.48739209016113044,28.386781729288586,11.678448377988165
